category,label,countries,n,vendors,min,p10,p25,median,mean,p75,p90,max,std_dev,mean_vs_median_pct
candy,Confiseries,4,249,15,43.63,75.44,112.66,166.56,174.62,243.13,273.73,464.82,78.36,4.8
fruit,Fruits,6,242,23,54.21,91.41,125.59,177.75,227.67,268.99,472.83,741.41,148.67,28.1
other,Autres,5,172,10,11.32,48.75,79.36,97.5,119.04,137.2,240,287.5,66.68,22.1
meal,Repas complets,5,58,8,41.07,99.79,104.3,126.38,160.37,157.95,239.76,589.07,105.96,26.9
meat,Viandes,4,55,7,28.69,69.84,147.84,175.68,189.53,202.21,274.67,580.61,100.93,7.9
vegetable,Légumes,5,45,14,29.36,61.05,90.66,161.39,280.99,346.66,795.91,1000,278.01,74.1
dairy,Produits laitiers,4,34,7,65.52,65.52,98.78,140.39,176.72,171.15,207.09,962.8,174.38,25.9
beverage,Boissons,3,30,3,39.99,39.99,40.4,61.42,66.1,73.72,83.73,173.83,38.21,7.6
powder,Poudres,4,18,5,48.87,57.4,66.29,124.56,129.97,153.02,176.09,415.01,81.95,4.3
herb_spice,Herbes et épices,2,10,3,80.59,89.06,90,90.8,107.22,135,135,135,22.86,18.1
egg,Œufs,3,7,4,80,121.4,149.91,156.95,294.9,371.52,567.25,784.52,228.01,87.9
