vendor,vendor_country,vendor_domain,product_name,variant,category,net_weight_g,weight_source,weight_confidence,price,currency,in_stock,source_url,observed_at,note
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Beets Powder,5 LBS,powder,2268,product_title,high,255.75,USD,yes,https://supremefreezedry.com/shop/,2026-08-05,Bulk pack. Merchant is in Coquitlam BC but prices in USD.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Blackberries,4 LBS,fruit,1814,product_title,high,175.20,USD,yes,https://supremefreezedry.com/shop/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Blackberry Powder,5 LBS,powder,2268,product_title,high,219.00,USD,yes,https://supremefreezedry.com/shop/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Blueberries,8 LBS,fruit,3629,product_title,high,289.99,USD,yes,https://supremefreezedry.com/shop/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Blueberry Powder,5 LBS,powder,2268,product_title,high,174.99,USD,yes,https://supremefreezedry.com/shop/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Blueberry Yogurt Bites,,yogurt,,none,none,8.99,USD,yes,https://supremefreezedry.com/shop/,2026-08-05,No net weight published on the shop listing.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Cranberries,8 LBS,fruit,3629,product_title,high,183.20,USD,yes,https://supremefreezedry.com/shop/page/2/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Cranberry Powder,5 LBS,powder,2268,product_title,high,114.50,USD,yes,https://supremefreezedry.com/shop/page/2/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Kale Powder,5 LBS,powder,2268,product_title,high,275.00,USD,yes,https://supremefreezedry.com/shop/page/2/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Pumpkin Powder,5 LBS,powder,2268,product_title,high,107.25,USD,yes,https://supremefreezedry.com/shop/page/2/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Raspberries,4 LBS,fruit,1814,product_title,high,211.20,USD,yes,https://supremefreezedry.com/shop/page/2/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Raspberry Powder,5 LBS,powder,2268,product_title,high,246.00,USD,yes,https://supremefreezedry.com/shop/page/2/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Spinach Powder,5 LBS,powder,2268,product_title,high,330.00,USD,yes,https://supremefreezedry.com/shop/page/3/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Strawberries,4 LBS,fruit,1814,product_title,high,191.60,USD,yes,https://supremefreezedry.com/shop/page/3/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Strawberry Dice,4 LBS,fruit,1814,product_title,high,191.60,USD,yes,https://supremefreezedry.com/shop/page/3/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Strawberry Powder,5 LBS,powder,2268,product_title,high,239.50,USD,yes,https://supremefreezedry.com/shop/page/3/,2026-08-05,Bulk pack.
Supreme Freeze Dry,CA,supremefreezedry.com,Freeze Dried Strawberry Yogurt Bites,,yogurt,,none,none,8.99,USD,yes,https://supremefreezedry.com/shop/page/3/,2026-08-05,No net weight published on the shop listing.
Supreme Freeze Dry,CA,supremefreezedry.com,Variety Mix 6-Pack Bundle,,other,,none,none,44.99,USD,yes,https://supremefreezedry.com/shop/page/3/,2026-08-05,Bundle; contents weight not published.
